"source_college","target_university","major","academic_year","required_uc_course_or_area","articulated_ccsf_course","notes","raw_agreement_url_or_id"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MATH 51","MATH 110A","MATH 51: Calculus I","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MATH 52","MATH 110B","MATH 52: Calculus II","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MATH 53","MATH 110C","MATH 53: Multivariable Calculus","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MATH 54","MATH 130 OR MATH 120 AND MATH 125","MATH 54: Linear Algebra and Differential Equations","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","PHYSICS 7A","PHYC 4A AND PHYC 4AL","PHYSICS 7A: Physics for Scientists and Engineers","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","PHYSICS 7B","PHYC 4B AND PHYC 4BL","PHYSICS 7B: Physics for Scientists and Engineers","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","Courses that satisfy Reading & Composition A","ENGL C1000","ENGL C1000 Academic Reading and Writing 4.00units","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","Courses that satisfy Reading & Composition B","ENGL C1001 OR ENGL 1B OR CMST 2","ENGL C1001 Critical Thinking and Writing 4.00units Or ENGL 1B Writing about Literature 4.00units Or CMST 2 Introduction to Rhetorical Criticism 3.00units","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","ASTRON 7A","No Course Articulated","ASTRON 7A: Introduction to Astrophysics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","ASTRON 10","No Course Articulated","ASTRON 10: Introduction to General Astronomy","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","BIOLOGY 1A AND BIOLOGY 1AL","BIO 100A","BIOLOGY 1A: General Biology Lecture (Cells, Genetics, Animal Form & Function) | BIOLOGY 1AL: General Biology Laboratory","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","BIOLOGY 1B","BIO 100B","BIOLOGY 1B: General Biology (Plant Form & Function, Ecology, Evolution)","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","CHEM 1A AND CHEM 1AL","CHEM 101A","CHEM 1A: General Chemistry | CHEM 1AL: General Chemistry Laboratory","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","CHEM 1B","CHEM 101B","CHEM 1B: General Chemistry","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","CHEM 3A AND CHEM 3AL","CHEM 212A","CHEM 3A: Chemical Structure and Reactivity | CHEM 3AL: Organic Chemistry Laboratory","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","CHEM 3B AND CHEM 3BL","CHEM 212B","CHEM 3B: Chemical Structure and Reactivity | CHEM 3BL: Organic Chemistry Laboratory","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MCELLBI 32 AND MCELLBI 32L","BIO 111","MCELLBI 32: Introduction to Human Physiology | MCELLBI 32L: Introduction to Human Physiology Laboratory","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","PHYSICS 7C","PHYC 4C AND PHYC 4CL AND PHYC 4D AND PHYC 4DL","PHYSICS 7C: Physics for Scientists and Engineers","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","ENGIN 7","ENGN 38 AND ENGN 10B","ENGIN 7: Introduction to Computer Programming for Scientists and Engineers (MATLAB)","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","COMPSCI 61A","No Course Articulated","COMPSCI 61A: The Structure and Interpretation of Computer Programs","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MAT SCI 45 AND MAT SCI 45L","ENGN 45","MAT SCI 45: Properties of Materials | MAT SCI 45L: Properties of Materials Laboratory","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MEC ENG C85","No Course Articulated","MEC ENG C85: Introduction to Solid Mechanics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
"CCSF","UC Berkeley","Aerospace Engineering, B.S.","2025-2026","MEC ENG 40","No Course Articulated","MEC ENG 40: Thermodynamics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2Fb84b4c08-c6f4-48ff-ace1-08ddbf3f4ee7"
